Science|science
Int. J Wireless. Mobile. Comput.|international journal of wireless and mobile computing
Int. J Zool.|international journal of zoology
Int. Mar. Sci.|international marine science
Int. Mater. Rev.|international materials reviews
Int. Math. Res. Not.|international mathematics research notices
Int. Nonwovens. J|international nonwovens journal
Int. Peat. J|international peat journal
Int. Polym. Proc.|international polymer processing
Int. Rev. Gesamten. Hydrobiol.|internationale revue der gesamten hydrobiologie
Int. Rev. Gesamten. Hydrobiol. Hydrogr.|internationale revue der gesamten hydrobiologie und hydrographie
Int. Rev. Hydrobiol.|international review of hydrobiology
Int. Rev. Phys. Chem.|international reviews in physical chemistry
Int. Rev. Poult. Sci.|international review of poultry science
Int. Shipbuild. Prog.|international shipbuilding progress
Int. Soil. Water. Conserv. Res.|internation soil and water conservation research
Int. Stat. Rev.|international statistical review
Int. Sugar. J|international sugar journal
Int. Tran. Oper. Res.|international transactions in operational research
Int. Trans. Electr. Energy. Syst.|international transactions on electrical energy systems
Int. Underw. Syst. Des.|international underwater systems design
Int. Water. Power. Dam. Constr.|international water power and dam construction
Integr. Biol.|integrative biology
Integr. Comp. Biol.|integrative and comparative biology
Integr. Comput-Aided. Eng.|integrated computer-aided engineering
Integr. Environ. Assess. Manage.|integrated environmental assessment and management
Integr. Ferroelectr.|integrated ferroelectrics
Integr. Org. Biol.|integrative organismal biology
Intell. Data. Anal.|intelligent data analysis
Intell. Decis. Technol.|intelligent decision technologies
Intell. Syst. Eng.|intelligent systems engineering
Interact. Comput.|interacting with computers
Inter-Am. Trop. Tuna. Comm. Spec. Rep.|inter-american tropical tuna commission special report
Interciencia|interciencia
Interdiscip. Neurosurg. Adv. Tech. Case. Manage.|interdisciplinary neurosurgery: advanced techniques and case management
Interface. Sci.|interface science
Internet. Interventions.|internet interventions
Internet. J Chem.|internet journal of chemistry
Internet. J Vib. Spectro.|internet journal of vibrational spectroscopy
Internet. Technol. Lett.|internet technology letters
IntJ. Metrol. Qual. Eng.|international journal of metrology and quality engineering
Invasive. Plant. Sci. Manage.|invasive plant science and management
Inventory. Sampl. Data. NAFO.|inventory sampling data nafo
Inverse. Prob.|inverse problems
Inverse. Prob. Eng.|inverse problems in engineering
Inverse. Prob. Sci. Eng.|inverse problems in science and engineering
Invertebr. Biol.|inbertebrate biology
Invertebr. Reprod. Dev.|invertebrate reproduction and development
Invertebr. Syst.|invertebrate systematics
Invertebr. Taxon.|invertebrate taxonomy
Invest. Cent. Interdiscip. Estud. Desarr. Urug.|investigaciones centro interdisciplinario de estudios sobre el desarrollo, uruguay
Invest. Genet.|investigative genetics
Invest. Mar.|investigaciones marinas
Invest. Math. Learn.|investigations in mathematics learning
Invest. New. Drugs.|investigational new drugs
Invest. Ophthalmol. Visual. Sci.|investigative ophthalmology &; visual science
Invest. Pesq. (Chile).|investigacion pesquera (chile)
Invest. Pesq. (Spain).|investigacion pesquera (spain)
Invest. Rep. Oceanogr. Res. Inst,. Durban.|investigational report oceanographic research institute, durban
Invest. Rep. Sea. Fish. Res. Inst,. Cape. Town.|investigational report sea fisheries research institute, cape town
Inz. Chem. Procesowa.|inzynieria chemiczna i procesowa
IOC. Comm. Clim. Chang. Ocean. Summ. Rep.|intergovernmental oceanographic commission committee on climatic changes and the ocean summary report
IOC. Man. Guides.|intergovernmental oceanographic commission manuals and guides
IOC. Rep. Gov. Major. Subsid. Bodies.|intergovernmental oceanographic commission reports of governing and major subsidiary bodies
IOC. Rep. Meet. Experts. Equiv. Bodies.|intergovernmental oceanographic commission reports of meetings of experts and equivalent bodies
IOC. Summ. Rep.|intergovernmental oceanographic commission summary report
IOC. Tech. Ser.|intergovernmental oceanographic commission technical series
IOC. Train. Course. Rep.|intergovernmental oceanographic commission training course reports
IOC. Workshop. Rep.|intergovernmental oceanographic commission workshop report
Ion. Exch. Solvent. Extr.|ion exchange and solvent extraction
IOP. Conf. Ser:. Earth. Environ. Sci.|iop conference series: earth and environmental science
IOP. Conf. Ser:. Mater. Sci. Eng.|iop conference series: materials science and engineering
IOP. SciNotes.|iop scinotes
Ippta. J|ippta journal
IPTP. Data. Cat.|iptp data catalogue
IPTP. Data. Rec.|iptp data record
IPTP. Data. Summ.|iptp data summary
Ir. Fish. Exports/Imports.|irish fish exports/imports
Ir. Fish. Invest,. B|irish fisheries investigations series b: marine
Ir. Nat. J|irish naturalists' journal
Ir. Offshore. Rev.|irish offshore review
Ir. Vet. J|irish veterinary journal
Iran. Biomed. J|iran biomedical journal
Iran. Fish. Bull.|iranian fisheries bulletin
Iran. J Chem. Chem. Eng.|iranian journal of chemistry &; chemical engineering
Iran. J Mater. Sci. Eng.|iranian journal of materials science and engineering
Iran. J Polym. Sci. Technol.|iranian journal of polymer science &; technology
Iran. Polym. J|iranian polymer journal
IRE. Trans. Aeronaut. Navig. Electron.|ire transactions on aeronautical and navigational electronics
IRE. Trans. Aerosp. Navig. Electron.|ire transactions on aerospace and navigational electronics
IRE. Trans. Anntenas. Propag.|ire transactions on antennas and propagation
IRE. Trans. Audio.|ire transactions on audio
IRE. Trans. Autom. Control.|ire transactions on automatic control
IRE. Trans. Bio-Med. Electron.|ire transactions on bio-medical electronics
IRE. Trans. Broadcast.|ire transactions on broadcasting
IRE. Trans. Broadcast. Telev. Receivers.|ire transactions on broadcast and television receivers
IRE. Trans. Broadcast. Transm. Syst.|ire transactions on broadcast transmission systems
IRE. Trans. Circuit. Theory.|ire transactions on circuit theory
IRE. Trans. Commun. Syst.|ire transactions on communication systems
IRE. Trans. Compon. Parts.|ire transactions on component parts
IRE. Trans. Electron. Comput.|ire transactions on electronic computers
IRE. Trans. Electron. Devices.|ire transactions on electron devices
IRE. Trans. Eng. Manage.|ire transactions on engineering management
IRE. Trans. Hum. Factors. Electron.|ire transactions on human factors in electronics
IRE. Trans. Ind. Electron.|ire transactions on  industrial electronics
